,KEY,accuracy,accuracy_std,activation,amino_accuracy,batch_size,beta,dense_units,dropout,elbo,entropy,kld,latent_dim,learning_rate,mcc,mcc_std,regfactor,rho_avg,rho_min,rho_std,top_batch_size,top_dropout,top_learning_rate,top_regfactor,use_batch_norm
44,beta,0.666088959,0.030146476,elu,0.48996755,256,10,"[512, 256]",0.2,496.8000595,459.2943228,3.750573722,96,0.001,0.332463306,0.059966704,1.00E-06,-0.009400477,-0.633703274,0.411538701,256,0,0.01,0.001,FALSE
45,beta,0.691315583,0.044049288,elu,0.46138316,256,20,"[512, 256]",0.2,540.19466,507.7015884,1.624653653,96,0.001,0.382705556,0.088056257,1.00E-06,0.033875384,-0.371678442,0.292520932,256,0,0.01,0.001,FALSE
46,beta,0.679998849,0.024687462,elu,0.3808111,256,50,"[512, 256]",0.2,569.1857263,546.3782312,0.456149901,96,0.001,0.360815911,0.049285701,1.00E-06,0.217632734,-0.24783732,0.263995533,256,0,0.01,0.001,FALSE
47,beta,0.644674765,0.05602717,elu,0.3492088,256,100,"[512, 256]",0.2,557.896276,557.516969,0.003793065,96,0.001,0.28952022,0.111847756,1.00E-06,0.246655035,-0.083224598,0.293108421,256,0,0.01,0.001,FALSE
48,top_learning_rate,0.750800956,0.018060719,elu,0.65560377,256,2,"[512, 256]",0.2,354.0387431,315.1399501,19.44939622,96,0.001,0.502291179,0.035839018,1.00E-06,0.268841068,-0.206935993,0.344201796,256,0,0.01,0.001,FALSE
49,top_learning_rate,0.745142056,0.022486924,elu,0.65560645,256,2,"[512, 256]",0.2,354.0386992,315.1399545,19.44937235,96,0.001,0.491444429,0.044506345,1.00E-06,0.234288058,-0.199222025,0.320145383,256,0,0.001,0.001,FALSE
50,top_batch_size,0.750800956,0.018060719,elu,0.65560377,256,2,"[512, 256]",0.2,354.0387431,315.1399501,19.44939622,96,0.001,0.502291179,0.035839018,1.00E-06,0.268841068,-0.206935993,0.344201796,256,0,0.01,0.001,FALSE
51,top_batch_size,0.749772559,0.016985593,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.499768253,0.034359546,1.00E-06,0.262529591,-0.208094217,0.351426594,32,0,0.01,0.001,FALSE
52,top_batch_size,0.749772559,0.016985593,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.499768253,0.034359546,1.00E-06,0.262529591,-0.208094217,0.351426594,64,0,0.01,0.001,FALSE
53,top_batch_size,0.749772559,0.016985593,elu,0.65560913,256,2,"[512, 256]",0.2,354.0387019,315.1399842,19.44935896,96,0.001,0.499768253,0.034359546,1.00E-06,0.262529591,-0.208094217,0.351426594,128,0,0.01,0.001,FALSE
